序号,方名,出处,味数,隔离前可剂量编译,带人工证候裁定,单字残片,重复药味,目录记录的组成,【请填】是否章节题（是/否）,【请填】应拆为哪些子方（方名＋卷次）,【请填】备注
1,治中风诸急及风热方,《集验方》,32,否,否,桂,,空青、大豆、桂、竹沥、防风、防己、升麻、桂心、川芎、羚羊角、麻黄、石膏、当归、甘草、干姜、黄芩、杏仁、人参、黄芪、附子、蜀椒、牛膝、细辛、独活、白术、薯蓣、秦艽、大黄、葛根、山茱萸、寒水石、天竺黄,,,
2,治疥及疠疡风方,《集验方》,31,否,是,曲,,苦酒、生韭、雄黄、黄芩、松脂、发灰、乱发、头垢、螺壳、踯蝎花、桃花、食盐、皂荚、鸡屎、木白汁、小蒜、釜月下土、藜芦、黄连、矾石、苦参、羊蹄根、丹参、蛇床子、蜀椒、大麻子、曲、硫黄、附子、水银、灶墨,,,
3,治诸水肿方,《集验方》,22,否,是,,,黄犍牛尿、猪肾、甘遂、葶苈、椒目、芒硝、水银、桑根白皮、橘皮、海藻、茯苓、郁李仁、赤小豆、防己、葱叶、大豆、白术、泽漆叶、射干、巴豆、杏仁、苏子,,,
4,治天行诸病方,《外台》卷三,18,否,否,马,,生姜、饴糖、灯心、麦门冬、人参、芦根、升麻、通草、射干、羚羊角、芍药、石膏、蜂蜜、滑石、葶苈子、大黄、桃皮、马,,,
5,治汤煎火烧及灸疮方,《集验方》,16,是,否,,,柏白皮、生地黄、苦竹叶、甘草、栀子、白蔹、黄芩、丹参、熟鸡子、腻粉、蛤蜊壳、灶中黄土、薤白、当归、白芷、羊髓,,,
6,治马咋踏及诸马物伤人方,《集验方》,16,否,否,水,,鸡冠血、妇人月经、马鞭稍、鼠屎、猪膏、死马腹中屎、矢汁、桑灰汁、炙石、人粪、水、醇酒、鸡毛、马鞭皮、桑皮、乌鸡肝,,,
7,治呕哕吐逆及噫醋方,《集验方》,15,否,是,,,羊乳、橘皮、生姜、泽泻、桂心、甘草、茯苓、人参、鹿角灰、枳实、羊脂、北黄丹、米醋、吴茱萸、大枣,,,
8,治伤寒胸闷、腹满方,《外台》,14,是,否,,,苦酒、猪胆、柴胡、半夏、生姜、知母、芍药、大黄、葳蕤、黄芩、甘草、生地黄、大枣、芒硝,,,
9,治赤白脓血痢及冷痢方,《集验方》,14,是,是,,,秫米、鲫鱼、薤白、香豉、大荆、鼠尾草、干姜、黄连、灶突中尘、牛膝、蜂蜡、阿胶、乌梅、附子,,,
10,治诸出血方,《集验方》,13,否,否,芎,,龙胆草、小豆、灶中黄土、甘草、干姜、阿胶、芎、熟艾、鸡苏、龙骨、新生犊子未食草者脐屎、乱发、蚕蜕纸,,,
11,治妊娠伤寒及疟疾方,《外台》卷三十三,12,是,否,,,前胡、知母、石膏、大青、黄芩、栀子、葱白、常山、甘草、乌梅、竹叶、糯米,,,
12,治小便难及遗尿、尿频方,《集验方》,12,否,否,鸡,,猪胆、滑石、石苇、榆皮、葵子、通草、瞿麦、车前子、雄鸡肠、鸡、羊肺、羊肉,,,
13,产难死生候及治产难方,《集验方》,11,是,否,,,槐子、蒲黄、生鸡子黄、苦酒、赤小豆、黄明胶、知母、夫衣带、猪膏、白蜜、淳酒,,,
14,治虚烦不眠及汗出不止方,（《外台》卷十七）,11,是,否,,,半夏、生姜、麦门冬、酸枣仁、甘草、桂心、黄芩、萆薢、人参、茯苓、秫米,,,
15,治伤寒后下利脓血及发斑方,《集验方》,10,是,否,,,黄柏、黄连、栀子仁、阿胶、大青、甘草、淡豆豉、猪胆、鸡子、苦酒,,,
16,治妊娠恶阻及子烦方,《集验方》,10,是,是,,,青竹茹、橘皮、生姜、茯苓、半夏、竹茹、人参、白术、厚朴、竹沥,,,
17,治方并方,《医方集宜》,10,是,否,,,防风、甘草、当归、茯苓、杏仁、官桂、黄芩、秦艽、干葛、麻黄,,,
18,治肺痿、肺痈及肠痈方,《集验方》,10,是,否,,,生姜、人参、甘草、大枣、童子小便、桔梗、薏苡仁、牡丹皮、桃仁、冬瓜仁,,,
19,治泄痢不禁及痢后谷道疼方,《集验方》,9,是,否,,,苦参、橘皮、独活、阿胶、芍药、干姜、黄柏、甘草、鬼臼,,,
20,治颈项头面白驳及白秃方,《集验方》,9,是,是,,,干鳗鲡鱼脂、蛇脱皮、桂屑、羊肉、皂荚、油麻、大豆、髑髅骨、腊月猪脂,,,
21,增补治诸疮毒久烂收口验方,《验方新编》,8,否,否,,,甘石、赤石脂、白蜡、黄蜡、黄丹、扫盆、枯矾、冰片,,,
22,治产后烦闷及渴方,《集验方》,8,是,是,,,生地黄、黄酒、栝蒌、麦门冬、人参、干地黄、甘草、干枣,,,
23,治手足皲裂及代指方,《集验方》,8,是,否,,,麦窠、葱叶、鸡屎、猪KT、蜀椒、蜂蜡、甘草、芒硝,,,
