"序号","方名","出处","目录记录的组成","味数","【请填】芍药应为(白芍/赤芍)","【请填】依据(卷次/原文)","【请填】备注"
"1","五发痈疽通治方","外科集验方","漏芦、白蔹、黄芩、麻黄、枳实、升麻、芍药、甘草、朴硝、大黄","10","","",""
"2","五柴胡饮","成方切用","芍药、白术、当归、柴胡、熟地、甘草、陈皮","7","","",""
"3","升麻和气饮","三因极一病证方论","苍术、桔梗、升麻、葛根、陈皮、甘草、芍药、半夏、当归、白芷、茯苓、枳壳、厚朴、干姜、大黄","15","","",""
"4","升麻柴胡汤","三因极一病证方论","柴胡、升麻、芍药、栀子仁、木通、黄芩、大青、杏仁、石膏","9","","",""
"5","四神散","三因极一病证方论","当归、芍药、川芎、干姜","4","","",""
"6","圣散子方","三因极一病证方论","草豆蔻、猪苓、石菖蒲、茯苓、高良姜、独活、柴胡、吴茱萸、附子、麻黄、厚朴、藁本、芍药、枳壳、白术、苍术、半夏、泽泻、藿香、防风、细辛、甘草","22","","",""
"7","地黄汤","三因极一病证方论","麦门冬、生地黄、人参、茯苓、芍药、葳蕤、石膏、远志、甘草、白术","10","","",""
"8","增损乐令汤","三因极一病证方论","黄芪、人参、橘皮、当归、桂心、细辛、前胡、甘草、茯苓、麦门冬、芍药、附子、熟地黄、半夏、远志","15","","",""
"9","妊娠随月养胎及服药方","外台》卷三十三","乌雌鸡、茯苓、吴茱萸、芍药、白术、麦门冬、细辛、防风、乌梅、干地黄、大麦、丹参、当归、人参、麻黄、艾叶、阿胶、甘草、大枣、黄连、生地黄、生姜、雄鸡、黄芩、大麦、茯神、龙骨、赤小豆、菊花、半夏、川芎、续断、生李根白皮、柴胡、旋复花、芍药、五味子","37","","",""
"10","徙薪饮","成方切用","黄芩、麦冬、芍药、黄柏、茯苓、丹皮、陈皮","7","","",""
"11","杏子汤","三因极一病证方论","杏仁、半夏、五味子、芍药、桂心、细辛、干姜、大黄、甘草、茯苓","10","","",""
"12","柴胡加桂汤","三因极一病证方论","柴胡、半夏、甘草、芍药、黄芩、人参、桂枝","7","","",""
"13","槟芍顺气汤","温疫论","槟榔、芍药、枳实、厚朴、大黄","5","","",""
"14","止痛当归汤","总录","当归、生地黄、芍药、黄芪、人参、甘草、官桂","7","","",""
"15","正阳汤","三因极一病证方论","白薇、玄参、川芎、桑白皮、当归、芍药、旋复花、甘草、生姜","9","","",""
"16","沃雪汤","三因极一病证方论","苍术、干姜、甘草、防风、葛根、厚朴、芍药","7","","",""
"17","治伤寒胸闷、腹满方","外台","苦酒、猪胆、柴胡、半夏、生姜、知母、芍药、大黄、葳蕤、黄芩、甘草、生地黄、大枣、芒硝","14","","",""
"18","治天行诸病方","外台》卷三","生姜、饴糖、灯心、麦门冬、人参、芦根、升麻、通草、射干、羚羊角、芍药、石膏、蜂蜜、滑石、葶苈子、大黄、桃皮、马","18","","",""
"19","治痔疮及谷道痒痛方","（《外台》卷二十六）","蛇蜕皮、鳖甲、皮、野葛、槐根、桃根、枳实、赤小豆、黄、附子、白蔹、桂心、芍药、黄芩、紫参、秦艽、乱发灰、紫菀、浓朴、本、雷丸、白芷、虫、贯众、猪后悬蹄甲、虻虫、石南、槐子、当归、连翘、干地黄、干姜、矾石、续断、生槐皮、槐赤鸡、玩月砂、乳香、绿矾、麝香、槐皮、甘草、陈豉、桃仁、菟丝子、鸡子黄、杏仁、胡粉、雄黄、苦酒、食盐","51","","",""
"20","疏邪饮","成方切用","芍药、柴胡、甘草、苏叶、荆芥穗","5","","",""
"21","石南散","三因极一病证方论","石南、天雄、山药、桃仁、芍药、甘菊花、甘草、升麻、葳蕤、黄芪、辰砂、石膏、山茱萸","13","","",""
"22","肾热汤","千金","磁石、牡蛎、白术、麦冬、芍药、甘草、生地黄、大枣","8","","",""
"23","麻黄升麻汤","三因极一病证方论","麻黄、升麻、黄芩、芍药、甘草、石膏、茯苓","7","","",""
"24","龙胆汤","三因极一病证方论","龙胆、柴胡、黄芩、桔梗、钩藤、芍药、甘草、茯苓、蜣螂、大黄","10","","",""
